序号,效力层级,法规名称,发布机关,文号,发布/现行版本日期,时效性,适用范围,来源,来源URL
914,部门工作文件,民航局对无人机用户身份信息验证的公告,中国民用航空局,,2017-12-04,现行有效,航空运输 交通安全管理 铁路公路机场用地 登记管理 农业科技与农机,库存-pkulaw全量,https://www.pkulaw.com/chl/20f0204c69dba79dbdfb.html
915,部门规范性文件,无人机云系统接口数据规范,中国民用航空局,,2017-12-01,现行有效,航空运输 国家标准管理 行业标准管理 采用国际标准管理,库存-pkulaw全量,https://www.pkulaw.com/chl/1aeb60ea831a1b7cbdfb.html
916,部门规范性文件,体育总局航管中心关于举办2017中国无人机公开赛总决赛的通知,国家体育总局,航管字〔2017〕354号,2017-08-15,现行有效,体育综合规定,库存-pkulaw全量,https://www.pkulaw.com/chl/1738b7bc37f829b7bdfb.html
917,部门规范性文件,体育总局航管中心关于2017中国无人机公开赛(深圳分站赛)有关事宜的通知,国家体育总局,,2017-07-13,现行有效,体育综合规定,库存-pkulaw全量,https://www.pkulaw.com/chl/8313fab0ea43bf39bdfb.html
918,部门工作文件,国家体育总局关于准予深圳开源创客坊科技有限公司成都创联天下科技有限公司举办中国无人机公开赛(深圳站)的决定,国家体育总局,体审批字〔2017〕2号,2017-03-15,现行有效,体育综合规定,库存-pkulaw全量,https://www.pkulaw.com/chl/e83ffd5d9f6fb7ecbdfb.html
919,部门工作文件,体育总局人力中心关于举办2017年全国退役运动员转型无人机飞控师培训班的通知,国家体育总局,,2017-02-24,现行有效,体育综合规定,库存-pkulaw全量,https://www.pkulaw.com/chl/d20ca47e75c0623dbdfb.html
920,部门工作文件,国家测绘局关于发布《无人机航摄安全作业基本要求》等6项测绘行业标准的通知,国家测绘地理信息局(原国家测绘局)(已撤销),国测科发〔2010〕5号,2010-10-01,现行有效,行业标准管理,库存-pkulaw全量,https://www.pkulaw.com/chl/e44ecfc1408502abbdfb.html
921,行业规定,中国消防协会关于批准立项编制团体标准《便携可装配式应急救援直升机、无人机起降平台》的通知,中国消防协会,中消协〔2026〕30号,2026-04-14,现行有效,消防管理 行业标准管理 社团管理 文物与古迹保护 科学研究与科技项目,库存-pkulaw全量,https://www.pkulaw.com/chl/9c666c1a8f5553e8bdfb.html
922,行业规定,中国林学会关于《无人机多模态数据单木参数提取和反演技术规范》等11项团体标准的立项公告,中国林学会,,2026,现行有效,行业标准管理 林业科技 林业管理 企业标准化管理 采用国际标准管理,库存-pkulaw全量,https://www.pkulaw.com/chl/000fd1a869056d08bdfb.html
923,行业规定,体育总局航管中心关于举办国际航联2024年世界无人机竞速公开赛的通知,中国航空运动协会,,2024-12-20,现行有效,体育综合规定,库存-pkulaw全量,https://www.pkulaw.com/chl/59ed65ac536e3931bdfb.html
924,行业规定,体育总局航管中心关于举办2024年中国无人机竞速联赛(临汾站)的通知,中国航空运动协会,,2024-07-05,现行有效,体育综合规定,库存-pkulaw全量,https://www.pkulaw.com/chl/413a3055d6337427bdfb.html
925,行业规定,体育总局航管中心关于举办2024年中国无人机竞速联赛(黄山站)的通知,国家体育总局,,2024-05-17,现行有效,体育综合规定,库存-pkulaw全量,https://www.pkulaw.com/chl/606d8583b37533fbbdfb.html
926,行业规定,中国航空运动协会关于举办2024年全国航空模型无人机项目(F9U)裁判员培训班的通知,中国航空运动协会,,2024-03-21,现行有效,体育综合规定,库存-pkulaw全量,https://www.pkulaw.com/chl/21573dcfc7fbdb21bdfb.html
927,行业规定,中国消防协会关于批准立项编制《无人机消防救援操控员》团体标准的通知,中国消防协会,中消协〔2024〕7号,2024-01-09,现行有效,消防管理,库存-pkulaw全量,https://www.pkulaw.com/chl/8a5bdfd0a0f3ba96bdfb.html
928,行业规定,中国消防协会关于批准立项编制团体标准《消防用无人机机载探测设备》的通知,中国消防协会,,2023-06-21,现行有效,标准化综合规定,库存-pkulaw全量,https://www.pkulaw.com/chl/c81bda3a0ace1f88bdfb.html
929,行业规定,中国航空运动协会关于开展全国青少年航空航天模型及无人机教育竞赛活动器材认证工作的通知,中国航空运动协会,,2022-04-01,现行有效,体育综合规定,库存-pkulaw全量,https://www.pkulaw.com/chl/91c2c87752b6dd12bdfb.html
930,行业规定,中国网络空间安全协会秘书处关于举办“网安中国行·新产品新技术”专题活动暨无人机信息安全高端研讨会的通知,中国网络空间安全协会,,2021-12-18,现行有效,互联网,库存-pkulaw全量,https://www.pkulaw.com/chl/b0d1cf8b1549907abdfb.html
931,部门工作文件,体育总局航管中心关于举办2021年全国青少年无人机创新教育竞赛通讯赛的通知,国家体育总局,,2021-10-08,现行有效,体育综合规定,库存-pkulaw全量,https://www.pkulaw.com/chl/c7882c7062fb1a43bdfb.html
932,行业规定,中国消防协会关于批准立项团体标准《无人机储压灭火装置》等的公告,中国消防协会,中消协〔2020〕51号,2020-08-18,现行有效,标准化综合规定,库存-pkulaw全量,https://www.pkulaw.com/chl/66a2c96a7ed65fd7bdfb.html
933,部门工作文件,体育总局航管中心、中国航空运动协会关于开展2024年全国青少年航空航天模型教育竞赛活动无人机器材(套材)评价工作的通知,国家体育总局 中国航空运动协会,航管字〔2024〕167号,2024-06-04,现行有效,科技综合规定与体改,库存-pkulaw全量,https://www.pkulaw.com/chl/5645ba50037a97e7bdfb.html
934,部门工作文件,体育总局航管中心关于举办2024年中国无人机竞速联赛(广州站)的通知,国家体育总局,,2024-06-04,现行有效,体育综合规定,库存-pkulaw全量,https://www.pkulaw.com/chl/d99d7fc9251a23d4bdfb.html
935,部门工作文件,体育总局航管中心、中国航空运动协会关于发布2024年“飞向北京•飞向太空”全国青少年航空航天模型教育竞赛活动(无人机项目)...,国家体育总局 中国航空运动协会,,2024-04-16,现行有效,竞赛制度,库存-pkulaw全量,https://www.pkulaw.com/chl/b3bf79a8c15f372cbdfb.html
936,部门工作文件,体育总局航管中心、中国航空运动协会关于举办2024年全国航空航天模型(含无人机)初级教练员培训班的通知,国家体育总局 中国航空运动协会,,2024-04-02,现行有效,体育综合规定,库存-pkulaw全量,https://www.pkulaw.com/chl/1d8f3a8d6301ff5cbdfb.html
937,部门工作文件,体育总局航管中心、中国航空运动协会关于发布2024年中国无人机竞速联赛竞赛规程、规则的通知,国家体育总局 中国航空运动协会,,2024-02-08,现行有效,体育综合规定,库存-pkulaw全量,https://www.pkulaw.com/chl/245689004d59f9b4bdfb.html
938,部门工作文件,体育总局航管中心关于举办2023年大湾区国际无人机竞速邀请赛的通知,国家体育总局,,2023-12-15,现行有效,体育综合规定,库存-pkulaw全量,https://www.pkulaw.com/chl/dd72cf4f4c8c02d4bdfb.html
939,部门工作文件,体育总局航管中心关于举办2023年中国无人机竞速公开赛(龙游站)的通知,国家体育总局,,2023-12-14,现行有效,体育综合规定,库存-pkulaw全量,https://www.pkulaw.com/chl/8da53a1f5d078671bdfb.html
940,部门工作文件,体育总局航管中心关于举办2023年中国无人机竞速公开赛(象山影视城站)的通知,国家体育总局,,2023-11-16,现行有效,体育综合规定,库存-pkulaw全量,https://www.pkulaw.com/chl/fd79edbdef160188bdfb.html
941,部门工作文件,中国民用航空局空管行业管理办公室关于公布实现飞行动态数据报送功能的民用无人机型号清单的通告,中国民用航空局,,2023-10-17,现行有效,航空运输,库存-pkulaw全量,https://www.pkulaw.com/chl/0f12a18afecc6c8abdfb.html
942,部门工作文件,体育总局航管中心、中国航空运动协会关于举办2023年“飞向北京•飞向太空”全国青少年航空航天模型教育竞赛活动(无人机项目)...,国家体育总局 中国航空运动协会,,2023-10-09,现行有效,机关工作综合规定,库存-pkulaw全量,https://www.pkulaw.com/chl/9644664f94a0f4a7bdfb.html
943,部门工作文件,体育总局航管中心关于举办2023年中国无人机竞速公开赛(湖南站)的通知,国家体育总局,,2023-09-22,现行有效,体育综合规定,库存-pkulaw全量,https://www.pkulaw.com/chl/45b89c9e8c7ac732bdfb.html
944,部门工作文件,2024年中国无人机竞速联赛申办公告,国家体育总局,,2023-09-21,现行有效,体育综合规定,库存-pkulaw全量,https://www.pkulaw.com/chl/66de53c2453f6998bdfb.html
945,部门工作文件,商务部、海关总署、国家国防科工局、中央军委装备发展部公告关于对无人机相关物项实施出口管制的公告,商务部 海关总署 国家国防科技工业局 中央军委装备发展部,商务部公告2023年第27号,2023-09-01,废止或失效,出口许可与管理,库存-pkulaw全量,https://www.pkulaw.com/chl/6f45e9b427f5170bbdfb.html
946,部门工作文件,体育总局航管中心关于举办2023年全国青少年航空航天模型教育竞赛活动(无人机项目)集训的通知,国家体育总局,,2023-05-26,现行有效,机关工作综合规定,库存-pkulaw全量,https://www.pkulaw.com/chl/9518a6bfd69e6644bdfb.html
947,部门工作文件,中国民用航空局空管行业管理办公室关于组织参加国际民航组织“放飞无人机”专题讨论会信息征集的通知,中国民用航空局,,2022-05-30,现行有效,航空运输,库存-pkulaw全量,https://www.pkulaw.com/chl/99c63b7771c76b17bdfb.html
948,行政许可批复,中国证券监督管理委员会关于同意中航(成都)无人机系统股份有限公司首次公开发行股票注册的批复,中国证券监督管理委员会,,2022-04-19,现行有效,证券交易所与业务管理,库存-pkulaw全量,https://www.pkulaw.com/chl/d7a973f101e058adbdfb.html
949,部门工作文件,中国民用航空局空管行业管理办公室关于公布实现飞行动态数据报送功能轻小型及植保无人机名单的通告,中国民用航空局,,2022-03-25,现行有效,航空运输,库存-pkulaw全量,https://www.pkulaw.com/chl/01091b022a7e8a80bdfb.html
950,部门工作文件,体育总局航管中心关于举办2021年全国青少年无人机创新教育竞赛通讯赛的补充通知,国家体育总局,,2021-12-19,现行有效,体育综合规定,库存-pkulaw全量,https://www.pkulaw.com/chl/d5a02a1e98013a5bbdfb.html
951,部门工作文件,人力资源社会保障部办公厅、自然资源部办公厅关于颁布无人机测绘操控员国家职业技能标准的通知,人力资源和社会保障部 自然资源部,人社厅发〔2021〕76号,2021-10-13,现行有效,行业标准管理,库存-pkulaw全量,https://www.pkulaw.com/chl/ee4e6d8cb24d2185bdfb.html
952,部门工作文件,民航局空管行业管理办公室关于公布实现飞行动态数据报送功能的轻小型无人机及植保无人机名单的通告(2021年4月21日),中国民用航空局,,2021-04-21,现行有效,航空运输,库存-pkulaw全量,https://www.pkulaw.com/chl/fb3c2a07119d09ecbdfb.html
953,部门工作文件,体育总局航管中心、中国航空运动协会关于举办2021年全国青少年无人机创新教育竞赛活动的通知,国家体育总局 中国航空运动协会,航管字〔2020〕269号,2020-12-30,现行有效,体育综合规定,库存-pkulaw全量,https://www.pkulaw.com/chl/c35533321435a1cdbdfb.html
954,部门工作文件,国家标准化管理委员会关于下达《民用无人机产品安全要求》等55项强制性国家标准制修订计划及相关标准外文版计划的通知,国家标准化管理委员会,国标委发〔2020〕54号,2020-12-24,现行有效,国家标准管理,库存-pkulaw全量,https://www.pkulaw.com/chl/9666c6b45bc3715ebdfb.html
955,部门工作文件,体育总局航管中心关于举办2020年大湾区无人机竞速邀请赛的通知,国家体育总局,,2020-12-21,现行有效,体育综合规定,库存-pkulaw全量,https://www.pkulaw.com/chl/894615dda3e8aac5bdfb.html
956,部门工作文件,体育总局航管中心关于举办2020年中国无人机竞速公开赛(阜新站)的通知,国家体育总局,航管字〔2020〕166号,2020-10-13,现行有效,体育综合规定,库存-pkulaw全量,https://www.pkulaw.com/chl/f3b054dd22f0d8edbdfb.html
957,部门工作文件,民航局空管办关于公布实现飞行动态数据报送功能的轻小型无人机及植保无人机名单的通告,中国民用航空局,,2020-09-25,现行有效,航空运输,库存-pkulaw全量,https://www.pkulaw.com/chl/348069b0225688ddbdfb.html
958,部门工作文件,体育总局航管中心关于组建2019年中国无人机国家队相关事宜的通知,国家体育总局,航管字〔2019〕412号,2019-11-29,现行有效,体育综合规定,库存-pkulaw全量,https://www.pkulaw.com/chl/8736794f3be21bafbdfb.html
959,部门工作文件,国家标准化管理委员会关于下达《多旋翼无人机用无刷伺服电动机系统通用规范》等93项国家标准外文版计划的通知,国家标准化管理委员会,国标委发〔2019〕31号,2019-10-31,现行有效,标准化综合规定,库存-pkulaw全量,https://www.pkulaw.com/chl/e53cc8ecf75cb955bdfb.html
960,部门规范性文件,无人机云系统数据规范,中国民用航空局,,2020-01-01,现行有效,航空运输 国家标准管理 行业标准管理 采用国际标准管理,库存-pkulaw全量,https://www.pkulaw.com/chl/79c95ac5a58dde8abdfb.html
961,部门工作文件,体育总局航管中心关于举办2019年中国无人机竞速公开赛(莱西站)的通知,国家体育总局,航管字〔2019〕251号,2019-07-26,现行有效,体育综合规定,库存-pkulaw全量,https://www.pkulaw.com/chl/ad6406ffc1b796c5bdfb.html
962,部门规范性文件,特定类无人机试运行管理规程(暂行),中国民用航空局,,2019-02-01,现行有效,航空运输 铁路公路机场用地 法规规章制定与发布 交通安全管理 行业标准管理,库存-pkulaw全量,https://www.pkulaw.com/chl/da5ad1489b73f33bbdfb.html
963,部门规范性文件,民用无人机驾驶员管理规定(2018修订),中国民用航空局,,2018-08-31,现行有效,航空运输,库存-pkulaw全量,https://www.pkulaw.com/chl/58cb8a717fdf8c9fbdfb.html
964,部门工作文件,体育总局航管中心关于举办2018年世界无人机锦标赛中国队选拔赛暨2018年全国航空航天模型锦标赛(无人机项目)的函,国家体育总局,航管字〔2018〕230号,2018-08-16,现行有效,体育综合规定,库存-pkulaw全量,https://www.pkulaw.com/chl/08632de73722c6a0bdfb.html
965,部门工作文件,中国质量认证中心关于开通民用轻小型旋翼无人机续航性能认证的通知,中国质量认证中心,,2018-07-31,现行有效,认证认可综合规定,库存-pkulaw全量,https://www.pkulaw.com/chl/072154d44827d700bdfb.html
966,行政许可批复,中国证监会关于核准广东澄星无人机股份有限公司定向发行股票的批复,中国证券监督管理委员会,证监许可〔2018〕1190号,2018-07-26,现行有效,股票 证券监督管理机构与市场监管,库存-pkulaw全量,https://www.pkulaw.com/chl/a077f67dd4a07a97bdfb.html
967,部门工作文件,国家体育总局人力资源开发中心关于举办2018年全国退役运动员转型无人机飞控师培训班的通知,国家体育总局,体人力字〔2018〕85号,2018-03-30,现行有效,体育综合规定,库存-pkulaw全量,https://www.pkulaw.com/chl/01ea94c1b9bfe893bdfb.html
968,部门工作文件,中国质量认证中心关于开通光伏电站用无人机系统认证业务的通知,中国质量认证中心,,2018-03-07,现行有效,认证认可综合规定,库存-pkulaw全量,https://www.pkulaw.com/chl/4c66f67ec95386f6bdfb.html
969,司法案例,云疆低空经济（河南）有限公司;刘佳森服务合同纠纷一审民事裁定书,,FBMCLI.C.575180584,,民事裁定书,刘佳森服务合同纠纷 | 涉诉企业:云疆低空经济（河南）有限公司,司法案例,https://www.pkulaw.com/pfnl/c7ed112b8012f816c3d0ea17556430e6a7de6433d6f
970,司法案例,最高人民法院发布6起知识产权法庭司法调解典型案例(第一批)之四：上海沃某公司、董某与上海峰某公司专利申请权权属纠纷三案...,,FBMCLI.C.574929078,,,最高人民法院发布6起知识产权法庭司法调解典型案例(第一批)之四：上海沃某公司、董某与上海峰某公司专利申请权权属纠纷三案...,司法案例,https://www.pkulaw.com/pfnl/c7ed112b8012f8168fabdbbc61edf05e2eac67f0676d
971,司法案例,湖南省株洲市中级人民法院发布11起优化法治化营商环境典型案例之一：西安某网络科技有限公司诉山河某航实业股份有限公司侵害...,,FBMCLI.C.559916915,,,湖南省株洲市中级人民法院发布11起优化法治化营商环境典型案例之一：西安某网络科技有限公司诉山河某航实业股份有限公司侵害...,司法案例,https://www.pkulaw.com/pfnl/08df102e7c10f206602d9717494aae99fa51ebac19b2
972,司法案例,2017年北京市专利行政保护十大典型案件之一：无人机系列专利侵权纠纷案,,FBMCLI.C.86967719,,,2017年北京市专利行政保护十大典型案件之一：无人机系列专利侵权纠纷案,司法案例,https://www.pkulaw.com/pfnl/a6bdb3332ec0adc4ca58995a71f228561690e42aa1b
973,司法案例,579王宇与田海彦、上海钛灵盾无人机技术有限公司民间借贷纠纷一审民事裁定书,,FBMCLI.C.322632505,,民事裁定书,579王宇与田海彦、上海钛灵盾无人机技术有限公司民间借贷纠纷,司法案例,https://www.pkulaw.com/pfnl/c05aeed05a57db0a398cd29f718ce62d6358320b1e6
974,司法案例,一航无人机科技（威信）有限公司;张曾宏服务合同纠纷一审民事裁定书,,FBMCLI.C.573014723,,民事裁定书,张曾宏服务合同纠纷 | 涉诉企业:一航无人机科技（威信）有限公司,司法案例,https://www.pkulaw.com/pfnl/c7ed112b8012f816d7c6f06ad494fd9df5df67dc94f0d
975,司法案例,三胞集团有限公司、深圳市高端无人机有限公司买卖合同纠纷二审民事判决书,,FBMCLI.C.311340685,,民事判决书,三胞集团有限公司、深圳市高端无人机有限公司买卖合同纠纷,司法案例,https://www.pkulaw.com/pfnl/c05aeed05a57db0a51049bcf60b9d37a633b5fa6ce3
976,司法案例,上海市浦东新区人民法院发布10起服务保障航空经济高质量发展典型案例(2021年-2025年)之十：钟某与上海市某中学教育机构责任...,,FBMCLI.C.574928368,,,上海市浦东新区人民法院发布10起服务保障航空经济高质量发展典型案例(2021年-2025年)之十：钟某与上海市某中学教育机构责任...,司法案例,https://www.pkulaw.com/pfnl/c7ed112b8012f8162ff407bb5aca20484ab0d78afa31
977,司法案例,上海市高级人民法院发布8起依法打击新型网络犯罪典型案例之三：高某、刘某康提供侵入计算机信息系统程序案——为他人提供破...,,FBMCLI.C.576620106,,,上海市高级人民法院发布8起依法打击新型网络犯罪典型案例之三：高某、刘某康提供侵入计算机信息系统程序案——为他人提供破...,司法案例,https://www.pkulaw.com/pfnl/c7ed112b8012f81669afed5c5e87674a1057a3ebc66
978,司法案例,上海捷网国际物流有限公司、深圳市爱飞无人机技术有限公司等合同纠纷民事管辖上诉管辖裁定书,,FBMCLI.C.419542478,,,上海捷网国际物流有限公司、深圳市爱飞无人机技术有限公司等合同纠纷民事管辖上诉管辖裁定书,司法案例,https://www.pkulaw.com/pfnl/95b2ca8d4055fce1a0db299bc4da40b85c352c86571
979,司法案例,上海红富士家纺有限公司管理人与上海鲲哥无人机科技有限公司请求撤销个别清偿行为纠纷一审民事判决书,,FBMCLI.C.503837298,,民事判决书,上海红富士家纺有限公司管理人与上海鲲哥无人机科技有限公司请求撤销个别清偿行为纠纷,司法案例,https://www.pkulaw.com/pfnl/08df102e7c10f2066a400d642b0b15efc7445beba818
980,司法案例,上海裕芮信息技术有限公司与台州聚贤无人机科技有限公司委托合同纠纷一审民事判决书,,FBMCLI.C.312032054,,民事判决书,上海裕芮信息技术有限公司与台州聚贤无人机科技有限公司委托合同纠纷,司法案例,https://www.pkulaw.com/pfnl/c05aeed05a57db0aa2cd1dd03ac644bdcb29e268f9f
981,司法案例,上海裕芮信息技术有限公司与台州聚贤无人机科技有限公司委托合同纠纷一审民事裁定书,,FBMCLI.C.312597434,,民事裁定书,上海裕芮信息技术有限公司与台州聚贤无人机科技有限公司委托合同纠纷,司法案例,https://www.pkulaw.com/pfnl/c05aeed05a57db0afc7cf527b678548c6aadce5716f4
982,司法案例,上海钛灵盾无人机技术有限公司、中顺农业发展（山东）有限公司等买卖合同纠纷民事二审民事判决书,,FBMCLI.C.548490817,,民事判决书,上海钛灵盾无人机技术有限公司、中顺农业发展（山东）有限公司等买卖合同纠纷民事,司法案例,https://www.pkulaw.com/pfnl/08df102e7c10f2065ed67cec9f01039e177f695cfcc8b
983,司法案例,上海钛灵盾无人机技术有限公司与北京恒聚天德城市规划设计研究院有限公司合同纠纷一审民事判决书,,FBMCLI.C.114476806,,民事判决书,上海钛灵盾无人机技术有限公司与北京恒聚天德城市规划设计研究院有限公司合同纠纷,司法案例,https://www.pkulaw.com/pfnl/a6bdb3332ec0adc49ba766f84bd299d249d9bbaa327
984,司法案例,东汉太阳能无人机技术有限公司与孙乙月劳动争议一审民事判决书,,FBMCLI.C.109996364,,民事判决书,东汉太阳能无人机技术有限公司与孙乙月劳动争议,司法案例,https://www.pkulaw.com/pfnl/a6bdb3332ec0adc4e4c8b232ac8e02808d492e37d77
985,司法案例,东汉太阳能无人机技术有限公司与李岳东劳动争议一审民事判决书,,FBMCLI.C.109742773,,民事判决书,东汉太阳能无人机技术有限公司与李岳东劳动争议,司法案例,https://www.pkulaw.com/pfnl/a6bdb3332ec0adc4a2ba40789034828f72966f3273a
986,司法案例,东汉太阳能无人机技术有限公司与梁士平劳动争议一审民事判决书,,FBMCLI.C.109716026,,民事判决书,东汉太阳能无人机技术有限公司与梁士平劳动争议,司法案例,https://www.pkulaw.com/pfnl/a6bdb3332ec0adc48a13eac1c0692733875a07cf6d6
987,司法案例,东汉太阳能无人机技术有限公司与覃慷劳动争议一审民事判决书,,FBMCLI.C.109626469,,民事判决书,东汉太阳能无人机技术有限公司与覃慷劳动争议,司法案例,https://www.pkulaw.com/pfnl/a6bdb3332ec0adc4dbbe46eb1c8b0aad8b46aaa78ac
988,司法案例,东汉太阳能无人机技术有限公司与陈柽劳动争议一审民事判决书,,FBMCLI.C.109990572,,民事判决书,东汉太阳能无人机技术有限公司与陈柽劳动争议,司法案例,https://www.pkulaw.com/pfnl/a6bdb3332ec0adc4467e369e8f06cbd44276c4387a9
989,司法案例,东莞市中科科技企业加速器有限公司、东莞市雅联无人机科技有限公司租赁合同纠纷民事二审民事判决书,,FBMCLI.C.404294043,,民事判决书,东莞市中科科技企业加速器有限公司、东莞市雅联无人机科技有限公司租赁合同纠纷民事,司法案例,https://www.pkulaw.com/pfnl/95b2ca8d4055fce1b115f1e1389b94ae1514ce207d8f
990,司法案例,东莞市中韩鑫电机有限公司与广东澄星无人机股份有限公司买卖合同纠纷一审民事判决书,,FBMCLI.C.99172686,,民事判决书,东莞市中韩鑫电机有限公司与广东澄星无人机股份有限公司买卖合同纠纷,司法案例,https://www.pkulaw.com/pfnl/a6bdb3332ec0adc403c6fb8bd743f70a55f3a3147c9d
991,司法案例,东莞市力维升碳纤维制品科技有限公司与富平县韦加无人机科技有限公司、北京韦加智能科技股份有限公司买卖合同纠纷一案民事一...,,FBMCLI.C.317595025,,,东莞市力维升碳纤维制品科技有限公司与富平县韦加无人机科技有限公司、北京韦加智能科技股份有限公司买卖合同纠纷一案民事一...,司法案例,https://www.pkulaw.com/pfnl/c05aeed05a57db0a36ca053d1aa69cf8b98536226bd
992,司法案例,东莞市畅科电机有限公司、广东澄星无人机股份有限公司买卖合同纠纷执行实施类执行裁定书,,FBMCLI.C.311406522,,执行裁定书,东莞市畅科电机有限公司、广东澄星无人机股份有限公司买卖合同纠纷执行实施类,司法案例,https://www.pkulaw.com/pfnl/c05aeed05a57db0ae9fd2a18c3b92ccc4f1cabb192e5
993,司法案例,东莞市畅科电机有限公司与广东澄星无人机股份有限公司买卖合同纠纷一审民事判决书,,FBMCLI.C.83950822,,民事判决书,东莞市畅科电机有限公司与广东澄星无人机股份有限公司买卖合同纠纷,司法案例,https://www.pkulaw.com/pfnl/a6bdb3332ec0adc4e78f9d7e6aed294e6b23552313b
994,司法案例,东莞市金泰胶贴制品有限公司与广东澄星无人机股份有限公司买卖合同纠纷一审民事判决书,,FBMCLI.C.88720185,,民事判决书,东莞市金泰胶贴制品有限公司与广东澄星无人机股份有限公司买卖合同纠纷,司法案例,https://www.pkulaw.com/pfnl/a6bdb3332ec0adc4d06959f25e63af4a8750ba4f8382
995,司法案例,东莞市银燕电气科技有限公司与广东澄星无人机股份有限公司买卖合同纠纷一案一审判决书,,FBMCLI.C.94930250,,,东莞市银燕电气科技有限公司与广东澄星无人机股份有限公司买卖合同纠纷一案一审判决书,司法案例,https://www.pkulaw.com/pfnl/a6bdb3332ec0adc41df9aca984e66b0d483eee3ae6e
996,司法案例,东营航空产业技术研究院;西安爱生无人机技术有限公司;买卖合同纠纷管辖上诉管辖裁定书,,FBMCLI.C.568942566,,,买卖合同纠纷管辖上诉管辖裁定书 | 涉诉企业:东营航空产业技术研究院,司法案例,https://www.pkulaw.com/pfnl/c7ed112b8012f8162d93a2e61e8c2a327c0e68dfba5
997,司法案例,中国东方资产管理股份有限公司广东省分公司、广东澄星无人机股份有限公司金融借款合同纠纷执行实施类执行裁定书,,FBMCLI.C.310289797,,执行裁定书,中国东方资产管理股份有限公司广东省分公司、广东澄星无人机股份有限公司金融借款合同纠纷执行实施类,司法案例,https://www.pkulaw.com/pfnl/c05aeed05a57db0ab6b1a95f9d29efd74269a32ca8cf
998,司法案例,中国人民财产保险股份有限公司武汉市分公司、武汉智能鸟无人机有限公司等民事二审民事判决书,,FBMCLI.C.510399533,,民事判决书,中国人民财产保险股份有限公司武汉市分公司、武汉智能鸟无人机有限公司等民事,司法案例,https://www.pkulaw.com/pfnl/08df102e7c10f20663b659628add7d709d4da5559ff4
999,司法案例,中国平安财产保险股份有限公司青岛中心支公司、烟台云都海鹰无人机应用技术有限公司财产保险合同纠纷民事二审民事判决书,,FBMCLI.C.410729420,,民事判决书,中国平安财产保险股份有限公司青岛中心支公司、烟台云都海鹰无人机应用技术有限公司财产保险合同纠纷民事,司法案例,https://www.pkulaw.com/pfnl/95b2ca8d4055fce1b63c403e5fbc70ae29006aa40bb
1000,司法案例,"中国建设银行股份有限公司汕头市分行与广东澄星无人机股份有限公司,陈加华,蔡俊彬借款合同纠纷一审民事裁定书",,FBMCLI.C.79787832,,民事裁定书,"中国建设银行股份有限公司汕头市分行与广东澄星无人机股份有限公司,陈加华,蔡俊彬借款合同纠纷",司法案例,https://www.pkulaw.com/pfnl/a6bdb3332ec0adc4b80b7b3a249caafadedaa131f29f
1001,司法案例,中电科仪器仪表有限公司与西安爱生无人机技术有限公司票据纠纷一审民事裁定书,,FBMCLI.C.119899168,,民事裁定书,中电科仪器仪表有限公司与西安爱生无人机技术有限公司票据纠纷,司法案例,https://www.pkulaw.com/pfnl/a6bdb3332ec0adc48faf3362931757b19bde2ffa7d89
1002,司法案例,中科航宇（北京）自动化工程技术有限公司、北京元一创智无人机科技有限责任公司买卖合同纠纷一审民事调解书,,FBMCLI.C.97848575,,民事调解书,中科航宇（北京）自动化工程技术有限公司、北京元一创智无人机科技有限责任公司买卖合同纠纷,司法案例,https://www.pkulaw.com/pfnl/a6bdb3332ec0adc46c0f888f0375284273ff28537fe19
1003,司法案例,临沂威鹰无人机控制技术有限公司与江苏星睿航空科技有限公司买卖合同纠纷执行裁定书,,FBMCLI.C.322911237,,执行裁定书,临沂威鹰无人机控制技术有限公司与江苏星睿航空科技有限公司买卖合同纠纷,司法案例,https://www.pkulaw.com/pfnl/c05aeed05a57db0ab236f4184dc686ca457057c0998
1004,司法案例,临沂飞防农业植保有限公司、山东腾跃航空无人机科技有限公司不当得利纠纷民事二审民事判决书,,FBMCLI.C.323696329,,民事判决书,临沂飞防农业植保有限公司、山东腾跃航空无人机科技有限公司不当得利纠纷民事,司法案例,https://www.pkulaw.com/pfnl/c05aeed05a57db0acdd707bb5d3de6b0bb09d7dfeaa
1005,司法案例,乐吉琳、云南知名无人机科技有限公司申请司法确认调解协议特别程序：确认调解协议民事裁定书,,FBMCLI.C.319976166,,民事裁定书,乐吉琳、云南知名无人机科技有限公司申请司法确认调解协议特别程序：确认调解协议,司法案例,https://www.pkulaw.com/pfnl/c05aeed05a57db0a1112e81559c9169c227d2a3fa16
1006,司法案例,乐海明与洛克希德（武汉）无人机科学研究院有限公司劳动争议执行裁定书,,FBMCLI.C.62356233,,执行裁定书,乐海明与洛克希德（武汉）无人机科学研究院有限公司劳动争议,司法案例,https://www.pkulaw.com/pfnl/a25051f3312b07f3ea36469345d84a85d9d12b84030
1007,司法案例,于海生与辽宁大壮无人机科技有限公司追索劳动报酬纠纷二审裁定书,,FBMCLI.C.502919583,,,于海生与辽宁大壮无人机科技有限公司追索劳动报酬纠纷二审裁定书,司法案例,https://www.pkulaw.com/pfnl/08df102e7c10f2069f0df03e346deccf865869442f8cb
