序号,来源,类型,效力层级,标题,发布机关,文号,发布日期,施行日期,时效性/现行版本,适用范围,是否已入库,文件路径,来源URL,备注
412,pkulaw,法规,地方工作文件,黄山市人民政府关于2024年高考、中考期间增加无人驾驶航空器临时管制空域的通告,黄山市人民政府,黄政秘〔2024〕15号,2024-06-06,2024-06-06,现行有效,,否,pkulaw\raw_pdf\低空经济\无人驾驶航空器\黄山市人民政府关于2024年高考、中考期间增加无人驾驶航空器临时管制空域的通告(FBMCLI.14.9284146).pdf,https://www.pkulaw.com/lar/f7de609e3a1ee95c6c5739c262fbb0eabdfb.html,引证码FBMCLI.14.9284146｜有附件｜未知位阶/无条文:地方工作文件
413,pkulaw,法规,地方工作文件,黑河市交通运输局关于发布黑龙江省无人驾驶航空器适飞空域范围的通告,黑河市交通运输局,,2026-01-16,2026-01-16,现行有效,,否,pkulaw\raw_pdf\低空经济\无人驾驶航空器\黑河市交通运输局关于发布黑龙江省无人驾驶航空器适飞空域范围的通告(FBMCLI.14.9614286).pdf,https://www.pkulaw.com/lar/b09d03775046e0dd420cabcda0f62f52bdfb.html,引证码FBMCLI.14.9614286｜有附件｜未知位阶/无条文:地方工作文件
414,pkulaw,法规,地方工作文件,龙岩市人民政府关于“闽安－2025”地震应急综合演练期间进行无人驾驶航空器管控的通告,龙岩市人民政府,,2025-05-07,2025-05-07,现行有效,,否,pkulaw\raw_pdf\低空经济\无人驾驶航空器\龙岩市人民政府关于“闽安－2025”地震应急综合演练期间进行无人驾驶航空器管控的通告(FBMCLI.14.8729575).pdf,https://www.pkulaw.com/lar/f6b9f0bd2e988e60d83db64638eea2e6bdfb.html,引证码FBMCLI.14.8729575｜未知位阶/无条文:地方工作文件
415,pkulaw,法规,地方工作文件,龙岩市人民政府关于在2024年国庆节升国旗仪式期间进行无人驾驶航空器管控的通告,龙岩市人民政府,龙政通告〔2024〕3号,2024-09-28,2024-09-28,现行有效,,否,pkulaw\raw_pdf\低空经济\无人驾驶航空器\龙岩市人民政府关于在2024年国庆节升国旗仪式期间进行无人驾驶航空器管控的通告(FBMCLI.14.7829859).pdf,https://www.pkulaw.com/lar/80b19b59fd25150c3c7faa9d2a2e5ffbbdfb.html,引证码FBMCLI.14.7829859｜未知位阶/无条文:地方工作文件
416,pkulaw,法规,地方工作文件,龙岩市人民政府关于在2026年福建省城市足球联赛(龙岩赛区)活动期间进行无人驾驶航空器管控的通告,龙岩市人民政府,,2026-04-22,2026-04-22,现行有效,,否,pkulaw\raw_pdf\低空经济\无人驾驶航空器\龙岩市人民政府关于在2026年福建省城市足球联赛(龙岩赛区)活动期间进行无人驾驶航空器管控的通告(FBMCLI.14.9914803).pdf,https://www.pkulaw.com/lar/db73262d1d01aec0508962bfe3b785dfbdfb.html,引证码FBMCLI.14.9914803｜未知位阶/无条文:地方工作文件
417,pkulaw,法规,地方工作文件,龙岩市人民政府关于在2026年长汀春节活动期间进行无人驾驶航空器管控的通告,龙岩市人民政府,龙政通告〔2026〕1号,2026-02-11,2026-02-11,现行有效,,否,pkulaw\raw_pdf\低空经济\无人驾驶航空器\龙岩市人民政府关于在2026年长汀春节活动期间进行无人驾驶航空器管控的通告(FBMCLI.14.9672257).pdf,https://www.pkulaw.com/lar/50d179826c4a3580af320d4a6e93a481bdfb.html,引证码FBMCLI.14.9672257｜未知位阶/无条文:地方工作文件
418,pkulaw,法规,地方工作文件,龙岩市人民政府关于在第二届客家非遗奇妙夜活动期间进行无人驾驶航空器管控的通告,龙岩市人民政府,龙政通告〔2024〕2号,2024-09-12,2024-09-12,现行有效,,否,pkulaw\raw_pdf\低空经济\无人驾驶航空器\龙岩市人民政府关于在第二届客家非遗奇妙夜活动期间进行无人驾驶航空器管控的通告(FBMCLI.14.7790845).pdf,https://www.pkulaw.com/lar/9029b3b64b5ec934e3ca3111d3534a11bdfb.html,引证码FBMCLI.14.7790845｜未知位阶/无条文:地方工作文件
419,pkulaw,法规,部门工作文件,国家认监委秘书处关于征集微轻小型无人机产品认证技术专家组的通知,国家认证认可监督管理委员会,认秘函〔2026〕16号,2026-04-16,2026-04-16,现行有效,,否,pkulaw\raw_pdf\北大法宝中央法规批量下载2026072914510079\国家认监委秘书处关于征集微轻小型无人机产品认证技术专家组的通知(FBMCLI.4.5342276).pdf,https://www.pkulaw.com/chl/ede4a4446676bf74bdfb.html,引证码FBMCLI.4.5342276｜有附件｜行政事务性通知(非规范文本)
420,pkulaw,法规,部门工作文件,体育总局航管中心关于举办2024年中国无人机竞速联赛(南京站)的通知,国家体育总局,,2024-11-14,2024-11-14,现行有效,,否,pkulaw\raw_pdf\北大法宝中央法规批量下载2026072914510079\体育总局航管中心关于举办2024年中国无人机竞速联赛(南京站)的通知(FBMCLI.4.5234916).pdf,https://www.pkulaw.com/chl/d34b018a36b752c6bdfb.html,引证码FBMCLI.4.5234916｜有附件｜行政事务性通知(非规范文本)
421,pkulaw,法规,部门工作文件,体育总局航管中心关于举办2024年中国无人机竞速联赛(苏州站)的通知,国家体育总局,,2024-09-19,2024-09-19,现行有效,,否,pkulaw\raw_pdf\北大法宝中央法规批量下载2026072914510079\体育总局航管中心关于举办2024年中国无人机竞速联赛(苏州站)的通知(FBMCLI.4.5232059).pdf,https://www.pkulaw.com/chl/1c50418e26642042bdfb.html,引证码FBMCLI.4.5232059｜有附件｜行政事务性通知(非规范文本)
422,pkulaw,法规,部门工作文件,体育总局航管中心关于举办2024年中国无人机竞速联赛(柯桥站)的通知,国家体育总局,,2024-07-17,2024-07-17,现行有效,,否,pkulaw\raw_pdf\北大法宝中央法规批量下载2026072914510079\体育总局航管中心关于举办2024年中国无人机竞速联赛(柯桥站)的通知(FBMCLI.4.5227754).pdf,https://www.pkulaw.com/chl/db9ab1c342727bfcbdfb.html,引证码FBMCLI.4.5227754｜有附件｜行政事务性通知(非规范文本)
423,pkulaw,法规,地方工作文件,上海市人民政府关于第五届中国国际进口博览会期间加强无人机等“低慢小”航空器安全管理的通告,上海市人民政府,沪府规〔2022〕15号,2022-10-18,2022-10-18,现行有效,,否,pkulaw\raw_pdf\北大法宝地方法151-200\上海市人民政府关于第五届中国国际进口博览会期间加强无人机等“低慢小”航空器安全管理的通告(FBMCLI.14.5605665).pdf,https://www.pkulaw.com/lar/60b0ecea0ff9b02053cd15175de59ee3bdfb.html,引证码FBMCLI.14.5605665｜未知位阶/无条文:地方工作文件
424,pkulaw,法规,地方工作文件,广州市科学技术局关于“无人机中视觉跟踪控制器关键技术研究与产业化”等省级科技计划项目限期结题的公告,广州市科学技术局,,2022-09-30,2022-09-30,现行有效,,否,pkulaw\raw_pdf\北大法宝地方法151-200\广州市科学技术局关于“无人机中视觉跟踪控制器关键技术研究与产业化”等省级科技计划项目限期结题的公告(FBMCLI.14.5591742).pdf,https://www.pkulaw.com/lar/6afd1113aaa7fc9bcd946eb294fa5c94bdfb.html,引证码FBMCLI.14.5591742｜有附件｜未知位阶/无条文:地方工作文件
425,pkulaw,法规,地方工作文件,厦门市公安局、中国民用航空厦门安全监督管理局、厦门市气象局关于进一步加强无人机等民用无人驾驶航空器安全管理的通告,厦门市公安局 中国民用航空厦门安全监督管理局 厦门市气象局,厦公综〔2022〕228号,2022-09-20,2022-09-20,现行有效,,否,pkulaw\raw_pdf\低空经济\无人驾驶航空器\厦门市公安局、中国民用航空厦门安全监督管理局、厦门市气象局关于进一步加强无人机等民用无人驾驶航空器安全管理的通告(FBMCLI.14.5577839).pdf,https://www.pkulaw.com/lar/b6cd7a119eb07ba2f95e987cfd372fd3bdfb.html,引证码FBMCLI.14.5577839｜未知位阶/无条文:地方工作文件
426,pkulaw,法规,地方工作文件,中山市住房和城乡建设局关于开展建设工程无人机安全飞行巡查的通知,中山市住房和城乡建设局,,2022-09-16,2022-09-16,现行有效,,否,pkulaw\raw_pdf\北大法宝地方法151-200\中山市住房和城乡建设局关于开展建设工程无人机安全飞行巡查的通知(FBMCLI.14.6215641).pdf,https://www.pkulaw.com/lar/96d9cdff6d0dfc4e56e632f2d006a02cbdfb.html,引证码FBMCLI.14.6215641｜未知位阶/无条文:地方工作文件
427,pkulaw,法规,地方工作文件,武汉市科技局关于终止“基于非接触式光纤光栅振动传感器的无人机稳定系统研究”项目的通知,武汉市科学技术局,,2022-09-05,2022-09-05,现行有效,,否,pkulaw\raw_pdf\北大法宝地方法151-200\武汉市科技局关于终止“基于非接触式光纤光栅振动传感器的无人机稳定系统研究”项目的通知(FBMCLI.14.6838594).pdf,https://www.pkulaw.com/lar/54d5909791e44d6c4cefee3857f7485cbdfb.html,引证码FBMCLI.14.6838594｜有附件｜未知位阶/无条文:地方工作文件
428,pkulaw,法规,地方工作文件,海口市旅游和文化广电体育局关于公开征集暑期无人机竞赛体验活动方案的通知,海口市旅游和文化广电体育局,,2022-08-05,2022-08-05,现行有效,,否,pkulaw\raw_pdf\北大法宝地方法151-200\海口市旅游和文化广电体育局关于公开征集暑期无人机竞赛体验活动方案的通知(FBMCLI.14.6241851).pdf,https://www.pkulaw.com/lar/0e7da1e9caf6aa40e8e80f57699aacbfbdfb.html,引证码FBMCLI.14.6241851｜行政事务性通知(非规范文本)
429,pkulaw,法规,地方工作文件,嘉善县农业农村局、嘉善县统计局关于印发嘉善县规模粮油种植补贴和经济作物应用无人机高分遥感信息技术统计改革实施方案的通知,嘉善县农业农村局 嘉善县统计局,善农〔2022〕49号,2022-06-16,2022-06-16,现行有效,,否,pkulaw\raw_pdf\北大法宝地方法151-200\嘉善县农业农村局、嘉善县统计局关于印发嘉善县规模粮油种植补贴和经济作物应用无人机高分遥感信息技术统计改革实施方案的通知(FBMCLI.14.8210540).pdf,https://www.pkulaw.com/lar/bbd1901b11926cb6ee2716b5837022f0bdfb.html,引证码FBMCLI.14.8210540｜有附件｜未知位阶/无条文:地方工作文件
430,pkulaw,法规,地方工作文件,银川市农业农村局关于印发《2022年银川市新型职业农民无人机技能竞赛方案》的通知,银川市农业农村局,银农函〔2022〕127号,2022-06-15,2022-06-15,现行有效,,否,pkulaw\raw_pdf\北大法宝地方法151-200\银川市农业农村局关于印发《2022年银川市新型职业农民无人机技能竞赛方案》的通知(FBMCLI.14.6427892).pdf,https://www.pkulaw.com/lar/def24eea0d827c7003df22d5e908de29bdfb.html,引证码FBMCLI.14.6427892｜有附件｜行政事务性通知(非规范文本)
431,pkulaw,法规,地方工作文件,福建省科学技术厅关于组织申报2022年度省科技重大专项专题“高速公路无人机组网遥感智能巡检关键技术研究”项目的通知,福建省科学技术厅,,2022-06-01,2022-06-01,现行有效,,否,pkulaw\raw_pdf\北大法宝地方法151-200\福建省科学技术厅关于组织申报2022年度省科技重大专项专题“高速公路无人机组网遥感智能巡检关键技术研究”项目的通知(FBMCLI.14.5117914).pdf,https://www.pkulaw.com/lar/7522bccfc442245ac5816391a08b1b26bdfb.html,引证码FBMCLI.14.5117914｜未知位阶/无条文:地方工作文件
432,pkulaw,法规,地方工作文件,贵州省生态环境厅关于采购2022年从严排查整治专项行动无人机排查服务比选结果公告,贵州省生态环境厅,,2022-05-18,2022-05-18,现行有效,,否,pkulaw\raw_pdf\北大法宝地方法151-200\贵州省生态环境厅关于采购2022年从严排查整治专项行动无人机排查服务比选结果公告(FBMCLI.14.5487321).pdf,https://www.pkulaw.com/lar/98d7772f7ac4333a1c1631929b27242cbdfb.html,引证码FBMCLI.14.5487321｜未知位阶/无条文:地方工作文件
433,pkulaw,法规,地方工作文件,广西壮族自治区航空运动管理中心2022年广西无人机竞速大赛的成交公告,广西壮族自治区航空运动管理中心,,2022-05-05,2022-05-05,现行有效,,否,pkulaw\raw_pdf\北大法宝地方法151-200\广西壮族自治区航空运动管理中心2022年广西无人机竞速大赛的成交公告(FBMCLI.14.5106468).pdf,https://www.pkulaw.com/lar/efcff6127e9798bb0d988b52292dd740bdfb.html,引证码FBMCLI.14.5106468｜行政事务性通知(非规范文本)
434,pkulaw,法规,地方工作文件,广西壮族自治区航空运动管理中心关于2022年广西无人机竞速大赛赛事服务采购的公告,广西壮族自治区航空运动管理中心,,2022-04-25,2022-04-25,现行有效,,否,pkulaw\raw_pdf\北大法宝地方法151-200\广西壮族自治区航空运动管理中心关于2022年广西无人机竞速大赛赛事服务采购的公告(FBMCLI.14.5106464).pdf,https://www.pkulaw.com/lar/2ce1fd5ae621b65034c15dcd80daf3acbdfb.html,引证码FBMCLI.14.5106464｜行政事务性通知(非规范文本)
435,pkulaw,法规,地方工作文件,广西壮族自治区航空运动管理中心关于2022年广西无人机竞速大赛赛事服务采购项目的废标公告,广西壮族自治区航空运动管理中心,,2022-04-15,2022-04-15,现行有效,,否,pkulaw\raw_pdf\北大法宝地方法151-200\广西壮族自治区航空运动管理中心关于2022年广西无人机竞速大赛赛事服务采购项目的废标公告(FBMCLI.14.5106343).pdf,https://www.pkulaw.com/lar/f6673a1bee36e7851c3f5d9849727f69bdfb.html,引证码FBMCLI.14.5106343｜行政事务性通知(非规范文本)
436,pkulaw,法规,地方工作文件,广西壮族自治区航空运动管理中心2022年广西无人机航拍创意大赛的成交公告,广西壮族自治区航空运动管理中心,,2022-04-15,2022-04-15,现行有效,,否,pkulaw\raw_pdf\北大法宝地方法151-200\广西壮族自治区航空运动管理中心2022年广西无人机航拍创意大赛的成交公告(FBMCLI.14.5106453).pdf,https://www.pkulaw.com/lar/9f3304c26dc7118b3912dfed99cacc8dbdfb.html,引证码FBMCLI.14.5106453｜未知位阶/无条文:地方工作文件
437,pkulaw,法规,地方工作文件,广西壮族自治区航空运动管理中心关于2022年广西无人机竞速大赛赛事服务采购的公告,广西壮族自治区航空运动管理中心,,2022-03-29,2022-03-29,现行有效,,否,pkulaw\raw_pdf\北大法宝地方法151-200\广西壮族自治区航空运动管理中心关于2022年广西无人机竞速大赛赛事服务采购的公告(FBMCLI.14.5051872).pdf,https://www.pkulaw.com/lar/b22e24ffe38b2f183ddac4c7738fde9fbdfb.html,引证码FBMCLI.14.5051872｜行政事务性通知(非规范文本)
438,pkulaw,法规,地方工作文件,广西壮族自治区航空运动管理中心关于2022年广西无人机航拍创意大赛赛事服务采购的公告,广西壮族自治区航空运动管理中心,,2022-03-29,2022-03-29,现行有效,,否,pkulaw\raw_pdf\北大法宝地方法151-200\广西壮族自治区航空运动管理中心关于2022年广西无人机航拍创意大赛赛事服务采购的公告(FBMCLI.14.5051869).pdf,https://www.pkulaw.com/lar/4fe79fa41229aa4af1f10600d1144fe3bdfb.html,引证码FBMCLI.14.5051869｜有附件｜未知位阶/无条文:地方工作文件
439,pkulaw,法规,地方工作文件,内蒙古自治区工业和信息化厅关于转发《关于开展民用无人机行业摸底调查工作的通知》的通知,内蒙古自治区工业和信息化厅,内工信装工字〔2022〕94号,2022-03-14,2022-03-14,现行有效,,否,pkulaw\raw_pdf\北大法宝地方法151-200\内蒙古自治区工业和信息化厅关于转发《关于开展民用无人机行业摸底调查工作的通知》的通知(FBMCLI.14.5395612).pdf,https://www.pkulaw.com/lar/83784faf087197088c27aab818b38c04bdfb.html,引证码FBMCLI.14.5395612｜有附件｜未知位阶/无条文:地方工作文件
440,pkulaw,法规,地方工作文件,湖北省农业发展中心关于印发《植保无人机防治小麦病害应急预案》《小麦机防暨春耕农机化生产技术服务方案》的通知,湖北省农业事业发展中心,,2022-03-11,2022-03-11,现行有效,,否,pkulaw\raw_pdf\北大法宝地方法151-200\湖北省农业发展中心关于印发《植保无人机防治小麦病害应急预案》《小麦机防暨春耕农机化生产技术服务方案》的通知(FBMCLI.14.5474405).pdf,https://www.pkulaw.com/lar/33719e3d13e891920e9d8c7d0d26c1aebdfb.html,引证码FBMCLI.14.5474405｜有附件｜未知位阶/无条文:地方工作文件
441,pkulaw,法规,地方工作文件,济南市公安局、济南市工业和信息化局、济南市城乡交通运输局、济南市文化和旅游局、济南市应急管理局、济南市市场监督管理局...,济南市公安局 济南市工业和信息化局 济南市城乡交通运输局 济南市文化和旅游局 济南市应急,济公通〔2022〕7号,2022-01-25,2022-01-25,现行有效,,否,pkulaw\raw_pdf\北大法宝地方法151-200\济南市公安局、济南市工业和信息化局、济南市城乡交通运输局、济南市文化和旅游局、济南市应急管理局、济南市市场监督管理局...(FBMCLI.14.5540362).pdf,https://www.pkulaw.com/lar/1690e002a267cc0a0c9c4aa0fe5249f8bdfb.html,引证码FBMCLI.14.5540362｜有附件｜未知位阶/无条文:地方工作文件
442,pkulaw,法规,地方工作文件,山西省发展和改革委员会关于无人机森林航空消防能力建设项目可行性研究报告的批复,山西省发展和改革委员会,晋发改审批发〔2022〕19号,2022-01-17,2022-01-17,现行有效,,否,pkulaw\raw_pdf\北大法宝地方法151-200\山西省发展和改革委员会关于无人机森林航空消防能力建设项目可行性研究报告的批复(FBMCLI.14.4893747).pdf,https://www.pkulaw.com/lar/d25b14355273d9962c697f9b5e67051fbdfb.html,引证码FBMCLI.14.4893747｜有附件｜行政事务性通知(非规范文本)
443,pkulaw,法规,地方工作文件,吉林省粮食和物资储备局关于公开选取吉林省重点县域农村安全储粮无人机航拍服务单位评审结果公告,吉林省粮食和物资储备局,,,2022,现行有效,,否,pkulaw\raw_pdf\北大法宝地方法151-200\吉林省粮食和物资储备局关于公开选取吉林省重点县域农村安全储粮无人机航拍服务单位评审结果公告(FBMCLI.14.5658439).pdf,https://www.pkulaw.com/lar/b64fb29ba637ae71999f65f94030cda5bdfb.html,引证码FBMCLI.14.5658439｜未知位阶/无条文:地方工作文件
444,pkulaw,法规,地方工作文件,吉林省粮食和物资储备局关于公开选取吉林省重点县域农村安全储粮无人机航拍服务单位的公告,吉林省粮食和物资储备局,,,2022,现行有效,,否,pkulaw\raw_pdf\北大法宝地方法151-200\吉林省粮食和物资储备局关于公开选取吉林省重点县域农村安全储粮无人机航拍服务单位的公告(FBMCLI.14.5643599).pdf,https://www.pkulaw.com/lar/aff564366b733169a29d3aa8bff2806ebdfb.html,引证码FBMCLI.14.5643599｜有附件｜未知位阶/无条文:地方工作文件
445,pkulaw,法规,地方工作文件,台州市人民政府关于对临海市紫阳街周边无人机等“低慢小”航空器采取临时性管制措施的通告,台州市人民政府,台政发[2021]26号,2021-12-13,2021-12-15,现行有效,,否,pkulaw\raw_pdf\北大法宝地方法151-200\台州市人民政府关于对临海市紫阳街周边无人机等“低慢小”航空器采取临时性管制措施的通告(FBMCLI.14.6911309).pdf,https://www.pkulaw.com/lar/95d458380a6f9ebc2c1c33117a26bf50bdfb.html,引证码FBMCLI.14.6911309｜未知位阶/无条文:地方工作文件
446,pkulaw,法规,地方工作文件,温州市体育局、共青团温州市委、温州市妇女联合会、温州市关心下一代工作委员会关于举办温州市第六届青少年无人机锦标赛的通知,温州市体育局 共青团温州市委 温州市妇女联合会 温州市关心下一代工作委员会,,2021-12-01,2021-12-01,现行有效,,否,pkulaw\raw_pdf\北大法宝地方法151-200\温州市体育局、共青团温州市委、温州市妇女联合会、温州市关心下一代工作委员会关于举办温州市第六届青少年无人机锦标赛的通知(FBMCLI.14.9197670).pdf,https://www.pkulaw.com/lar/90d51a2d6c288132453e9c03d55b06babdfb.html,引证码FBMCLI.14.9197670｜有附件｜未知位阶/无条文:地方工作文件
447,pkulaw,法规,地方工作文件,苏州市人民政府关于加强第四届中国国际进口博览会期间无人机等“低慢小”航空器安全管理的通告,苏州市人民政府,苏府通〔2021〕3号,2021-10-29,2021-10-29,现行有效,,否,pkulaw\raw_pdf\北大法宝地方法151-200\苏州市人民政府关于加强第四届中国国际进口博览会期间无人机等“低慢小”航空器安全管理的通告(FBMCLI.14.4875039).pdf,https://www.pkulaw.com/lar/96599e63433140a7257d0648dbd00038bdfb.html,引证码FBMCLI.14.4875039｜有附件｜未知位阶/无条文:地方工作文件
448,pkulaw,法规,地方工作文件,上海市人民政府关于加强第四届中国国际进口博览会期间无人机等“低慢小”航空器安全管理的通告,上海市人民政府,沪府规〔2021〕14号,2021-10-20,2021-10-25,现行有效,,否,pkulaw\raw_pdf\北大法宝地方法151-200\上海市人民政府关于加强第四届中国国际进口博览会期间无人机等“低慢小”航空器安全管理的通告(FBMCLI.14.4619995).pdf,https://www.pkulaw.com/lar/98c47ba91dbb5f323fe7566c652c3625bdfb.html,引证码FBMCLI.14.4619995｜未知位阶/无条文:地方工作文件
449,pkulaw,法规,地方工作文件,南宁市城市管理综合行政执法局无人机技术辅助邕江沿岸公园考评(试点)项目采购公告,南宁市城市管理综合行政执法局,,2021-10-11,2021-10-11,现行有效,,否,pkulaw\raw_pdf\北大法宝地方法151-200\南宁市城市管理综合行政执法局无人机技术辅助邕江沿岸公园考评(试点)项目采购公告(FBMCLI.14.5559927).pdf,https://www.pkulaw.com/lar/9fb39fb326ec4a6341e2819b66bb3ae5bdfb.html,引证码FBMCLI.14.5559927｜有附件｜未知位阶/无条文:地方工作文件
450,pkulaw,法规,地方工作文件,济南市工业和信息化局关于对生产、销售无人机无线电反制设备进行排查的通知,济南市工业和信息化局,,2021-09-26,2021-09-26,现行有效,,否,pkulaw\raw_pdf\北大法宝地方法151-200\济南市工业和信息化局关于对生产、销售无人机无线电反制设备进行排查的通知(FBMCLI.14.5797790).pdf,https://www.pkulaw.com/lar/a78f48e54315f730ad9dcdf2545f18ccbdfb.html,引证码FBMCLI.14.5797790｜有附件｜未知位阶/无条文:地方工作文件
451,pkulaw,法规,地方工作文件,广西壮族自治区自然资源厅关于进一步规范无人机测绘活动的通知,广西壮族自治区自然资源厅,桂自然资发〔2021〕64号,2021-09-24,2021-09-24,现行有效,,否,pkulaw\raw_pdf\北大法宝地方法151-200\广西壮族自治区自然资源厅关于进一步规范无人机测绘活动的通知(FBMCLI.14.4621379).pdf,https://www.pkulaw.com/lar/230910c15102200446dd3a7740252f64bdfb.html,引证码FBMCLI.14.4621379｜未知位阶/无条文:地方工作文件
452,pkulaw,法规,地方工作文件,咸阳市人民政府关于第十四届全国运动会咸阳赛区赛事期间无人机等航空器飞行管控的通告,咸阳市人民政府,咸政发〔2021〕15号,2021-09-10,2021-09-10,现行有效,,否,pkulaw\raw_pdf\北大法宝地方法151-200\咸阳市人民政府关于第十四届全国运动会咸阳赛区赛事期间无人机等航空器飞行管控的通告(FBMCLI.14.5052012).pdf,https://www.pkulaw.com/lar/b2535f9c90d15d626df9e3f15c50ab16bdfb.html,引证码FBMCLI.14.5052012｜未知位阶/无条文:地方工作文件
453,pkulaw,法规,地方工作文件,广东省生态环境厅关于商请协助开展海岸带无人机航拍的函,广东省生态环境厅,,2021-09-01,2021-09-01,现行有效,,否,pkulaw\raw_pdf\北大法宝地方法151-200\广东省生态环境厅关于商请协助开展海岸带无人机航拍的函(FBMCLI.14.7407817).pdf,https://www.pkulaw.com/lar/159ffe358da0025670b0d97d5438142abdfb.html,引证码FBMCLI.14.7407817｜未知位阶/无条文:地方工作文件
454,pkulaw,法规,地方工作文件,合肥市科学技术局、岳西县人民政府关于参加合肥·岳西无人机(智能制造)产业发展交流恳谈会的通知,合肥市科学技术局 岳西县人民政府,,2021-09-01,2021-09-01,现行有效,,否,pkulaw\raw_pdf\北大法宝地方法151-200\合肥市科学技术局、岳西县人民政府关于参加合肥·岳西无人机(智能制造)产业发展交流恳谈会的通知(FBMCLI.14.5530152).pdf,https://www.pkulaw.com/lar/25ad3eaf29bed86aa0f5698c18c6fc67bdfb.html,引证码FBMCLI.14.5530152｜有附件｜行政事务性通知(非规范文本)
455,pkulaw,法规,地方工作文件,深圳市人力资源和社会保障局关于发布深圳市第十一届职工技术创新运动会暨2021年深圳技能大赛—无人机驾驶职业技能竞赛工作方...,深圳市人力资源和社会保障局,,2021-08-06,2021-08-06,现行有效,,否,pkulaw\raw_pdf\北大法宝地方法151-200\深圳市人力资源和社会保障局关于发布深圳市第十一届职工技术创新运动会暨2021年深圳技能大赛—无人机驾驶职业技能竞赛工作方...(FBMCLI.14.5934377).pdf,https://www.pkulaw.com/lar/d268b7916a95f08cdeffd7d8c09a86e9bdfb.html,引证码FBMCLI.14.5934377｜有附件｜行政事务性通知(非规范文本)
456,pkulaw,法规,地方工作文件,济南市公安局、济南市工业和信息化局、济南市城乡交通运输局、济南市文化和旅游局、济南市应急管理局、济南市市场监督管理局...,济南市公安局 济南市工业和信息化局 济南市城乡交通运输局 济南市文化和旅游局 济南市应急,济公通〔2021〕54号,2021-06-30,2021-06-30,废止或失效,,否,pkulaw\raw_pdf\北大法宝地方法151-200\济南市公安局、济南市工业和信息化局、济南市城乡交通运输局、济南市文化和旅游局、济南市应急管理局、济南市市场监督管理局...(FBMCLI.14.5540013).pdf,https://www.pkulaw.com/lar/97a53e1995052d02c0cbfe387cd4dde5bdfb.html,引证码FBMCLI.14.5540013｜有附件｜未知位阶/无条文:地方工作文件
457,pkulaw,法规,地方工作文件,河北省人民政府关于在全省范围内禁止升放、使用影响飞行安全的无人机等“低慢小”航空器和其他物体的通告,河北省人民政府,,2021-06-20,2021-06-20,现行有效,,否,pkulaw\raw_pdf\北大法宝地方法151-200\河北省人民政府关于在全省范围内禁止升放、使用影响飞行安全的无人机等“低慢小”航空器和其他物体的通告(FBMCLI.14.4088373).pdf,https://www.pkulaw.com/lar/31985547181ce79d3a8949eddb14f8bebdfb.html,引证码FBMCLI.14.4088373｜未知位阶/无条文:地方工作文件
458,pkulaw,法规,地方工作文件,海东市人民政府关于禁止无人机等“低慢小”航空器飞行的通告,海东市人民政府,东政[2021]16号,2021-06-04,2021-06-04,现行有效,,否,pkulaw\raw_pdf\北大法宝地方法151-200\海东市人民政府关于禁止无人机等“低慢小”航空器飞行的通告(FBMCLI.14.4805749).pdf,https://www.pkulaw.com/lar/278a4ad8b83c62383f983efbd4a72445bdfb.html,引证码FBMCLI.14.4805749｜未知位阶/无条文:地方工作文件
459,pkulaw,法规,地方工作文件,青海省农牧机械推广总站关于开展植保无人机高原性能试验的通知,青海省农牧机械推广总站,,2021-04-15,2021-04-26,现行有效,,否,pkulaw\raw_pdf\北大法宝地方法151-200\青海省农牧机械推广总站关于开展植保无人机高原性能试验的通知(FBMCLI.14.4067198).pdf,https://www.pkulaw.com/lar/d322e12346a6ea3daf15d4b9cdf7ca8dbdfb.html,引证码FBMCLI.14.4067198｜未知位阶/无条文:地方工作文件
460,pkulaw,法规,地方工作文件,青海省人民政府关于加强无人机等“低慢小”航空器安全管理的通告,青海省人民政府,,2021-03-02,2021-03-02,现行有效,,否,pkulaw\raw_pdf\北大法宝地方法151-200\青海省人民政府关于加强无人机等“低慢小”航空器安全管理的通告(FBMCLI.14.1698499).pdf,https://www.pkulaw.com/lar/51a185e915004b33edca6f68c26205b4bdfb.html,引证码FBMCLI.14.1698499｜未知位阶/无条文:地方工作文件
461,pkulaw,法规,地方工作文件,中山市农业科技推广中心关于补充中山市水稻病虫无人机喷药服务组织目录库的通知,中山市农业科技推广中心,,2021-01-19,2021-01-19,现行有效,,否,pkulaw\raw_pdf\北大法宝地方法151-200\中山市农业科技推广中心关于补充中山市水稻病虫无人机喷药服务组织目录库的通知(FBMCLI.14.5888786).pdf,https://www.pkulaw.com/lar/8d77df216b6221d827494fd1979aa9adbdfb.html,引证码FBMCLI.14.5888786｜有附件｜未知位阶/无条文:地方工作文件
462,pkulaw,法规,地方工作文件,南宁市城市管理综合行政执法局无人机技术辅助邕江沿岸公园考评(试点)项目成交结果公告,南宁市城市管理综合行政执法局,,,2021,现行有效,,否,pkulaw\raw_pdf\北大法宝地方法151-200\南宁市城市管理综合行政执法局无人机技术辅助邕江沿岸公园考评(试点)项目成交结果公告(FBMCLI.14.5559928).pdf,https://www.pkulaw.com/lar/e866e12316bb77a120040c7d868d936ebdfb.html,引证码FBMCLI.14.5559928｜未知位阶/无条文:地方工作文件
