序号,来源,类型,效力层级,标题,发布机关,文号,发布日期,施行日期,时效性/现行版本,适用范围,是否已入库,文件路径,来源URL,备注
383,pkulaw,案例,司法案例,张德超与德奥无人机运营服务有限公司劳动争议执行裁定书,,,,,,,否,pkulaw\raw_pdf\无人机司法案例pdf\无人机司法案例pdf\张德超与德奥无人机运营服务有限公司劳动争议执行裁定书(FBMCLI.C.88339639).pdf,https://www.pkulaw.com/pfnl/a6bdb3332ec0adc4897e40a5469553e367ef415708a,引证码FBMCLI.C.88339639｜司法案例(单独管线)
384,pkulaw,案例,司法案例,张珊珊与湖南中斯航迹无人机科技有限公司、黄乾洁追索劳动报酬纠纷一审民事裁定书,,,,,,,否,pkulaw\raw_pdf\无人机司法案例pdf\无人机司法案例pdf\张珊珊与湖南中斯航迹无人机科技有限公司、黄乾洁追索劳动报酬纠纷一审民事裁定书(FBMCLI.C.104411779).pdf,https://www.pkulaw.com/pfnl/a6bdb3332ec0adc4b9c122ecd32dc944d8df1760043,引证码FBMCLI.C.104411779｜司法案例(单独管线)
385,pkulaw,案例,司法案例,张珊珊与湖南中斯航迹无人机科技有限公司、黄乾洁追索劳动报酬纠纷一审民事调解书,,,,,,,否,pkulaw\raw_pdf\无人机司法案例pdf\无人机司法案例pdf\张珊珊与湖南中斯航迹无人机科技有限公司、黄乾洁追索劳动报酬纠纷一审民事调解书(FBMCLI.C.121976348).pdf,https://www.pkulaw.com/pfnl/a6bdb3332ec0adc4a455512884b76fe543235fc7401,引证码FBMCLI.C.121976348｜司法案例(单独管线)
386,pkulaw,案例,司法案例,张瑞福与深圳市飞客无人机科技有限公司买卖合同纠纷一审民事裁定书,,,,,,,否,pkulaw\raw_pdf\无人机司法案例pdf\无人机司法案例pdf\张瑞福与深圳市飞客无人机科技有限公司买卖合同纠纷一审民事裁定书(FBMCLI.C.313383834).pdf,https://www.pkulaw.com/pfnl/c05aeed05a57db0a2393bdae34a6334ab7e301a585,引证码FBMCLI.C.313383834｜司法案例(单独管线)
387,pkulaw,案例,司法案例,张益村、北航富羽无人机（深圳）有限公司劳动争议首次执行执行裁定书,,,,,,,否,pkulaw\raw_pdf\无人机司法案例pdf\无人机司法案例pdf\张益村、北航富羽无人机（深圳）有限公司劳动争议首次执行执行裁定书(FBMCLI.C.502359733).pdf,https://www.pkulaw.com/pfnl/08df102e7c10f206c8f4143a0a34b9550421f452cfb4,引证码FBMCLI.C.502359733｜司法案例(单独管线)
388,pkulaw,案例,司法案例,张鹏与德奥无人机运营服务有限公司劳动争议执行裁定书,,,,,,,否,pkulaw\raw_pdf\无人机司法案例pdf\无人机司法案例pdf\张鹏与德奥无人机运营服务有限公司劳动争议执行裁定书(FBMCLI.C.84873064).pdf,https://www.pkulaw.com/pfnl/a6bdb3332ec0adc4caf7337b112992309b37a0915c2,引证码FBMCLI.C.84873064｜司法案例(单独管线)
389,pkulaw,案例,司法案例,强国羽翼无人机应用技术有限公司、息县农业农村局合同纠纷民事二审民事判决书,,,,,,,否,pkulaw\raw_pdf\无人机司法案例pdf\无人机司法案例pdf\强国羽翼无人机应用技术有限公司、息县农业农村局合同纠纷民事二审民事判决书(FBMCLI.C.431307505).pdf,https://www.pkulaw.com/pfnl/95b2ca8d4055fce14fda707706a301a9eecc430c9605,引证码FBMCLI.C.431307505｜司法案例(单独管线)
390,pkulaw,案例,司法案例,彭丽与洛克希德（武汉）无人机科学研究院有限公司劳动争议执行裁定书,,,,,,,否,pkulaw\raw_pdf\无人机司法案例pdf\无人机司法案例pdf\彭丽与洛克希德（武汉）无人机科学研究院有限公司劳动争议执行裁定书(FBMCLI.C.61217551).pdf,https://www.pkulaw.com/pfnl/a25051f3312b07f3bb5683588a8d2ed4b6258cde7cc,引证码FBMCLI.C.61217551｜司法案例(单独管线)
391,pkulaw,案例,司法案例,"惠州市三航无人机技术研究院,深圳市工大科技教育有限公司与西安天问智能科技有限公司损害公司利益责任纠纷一审民事判决书",,,,,,,否,"pkulaw\raw_pdf\无人机司法案例pdf\无人机司法案例pdf\惠州市三航无人机技术研究院,深圳市工大科技教育有限公司与西安天问智能科技有限公司损害公司利益责任纠纷一审民事判决书(FBMCLI.C.91450040).pdf",https://www.pkulaw.com/pfnl/a6bdb3332ec0adc4d84db5df6597a4a39a60a85b82c,引证码FBMCLI.C.91450040｜司法案例(单独管线)
392,pkulaw,案例,司法案例,成都三足乌无人机科技有限公司与胡晓敏劳动争议纠纷上诉案,,,,,,,否,pkulaw\raw_pdf\无人机司法案例pdf\无人机司法案例pdf\成都三足乌无人机科技有限公司与胡晓敏劳动争议纠纷上诉案(FBMCLI.C.9936874).pdf,https://www.pkulaw.com/pfnl/a25051f3312b07f3c92eed57926dda48a9ea961d464,引证码FBMCLI.C.9936874｜司法案例(单独管线)
393,pkulaw,案例,司法案例,成都工院无人机科技有限公司、四川华远建设工程有限公司服务合同纠纷执行实施类执行裁定书,,,,,,,否,pkulaw\raw_pdf\无人机司法案例pdf\无人机司法案例pdf\成都工院无人机科技有限公司、四川华远建设工程有限公司服务合同纠纷执行实施类执行裁定书(FBMCLI.C.506692743).pdf,https://www.pkulaw.com/pfnl/08df102e7c10f206cec8d869e2b4fd76be183b423dc8,引证码FBMCLI.C.506692743｜司法案例(单独管线)
394,pkulaw,案例,司法案例,成都工院无人机科技有限公司与四川华远建设工程有限公司服务合同纠纷一审民事判决书,,,,,,,否,pkulaw\raw_pdf\无人机司法案例pdf\无人机司法案例pdf\成都工院无人机科技有限公司与四川华远建设工程有限公司服务合同纠纷一审民事判决书(FBMCLI.C.506746356).pdf,https://www.pkulaw.com/pfnl/08df102e7c10f206b332847588ae615130931ce9d99,引证码FBMCLI.C.506746356｜司法案例(单独管线)
395,pkulaw,案例,司法案例,成都工院无人机科技有限公司成某、四某其他案由执行实施类其他,,,,,,,否,pkulaw\raw_pdf\无人机司法案例pdf\无人机司法案例pdf\成都工院无人机科技有限公司成某、四某其他案由执行实施类其他(FBMCLI.C.506797900).pdf,https://www.pkulaw.com/pfnl/08df102e7c10f2064385d5131264876243f21cf17de3,引证码FBMCLI.C.506797900｜司法案例(单独管线)
396,pkulaw,案例,司法案例,成都星展无人机科技有限公司、成都乐屹包装装潢设计有限公司买卖合同纠纷一审民事调解书,,,,,,,否,pkulaw\raw_pdf\无人机司法案例pdf\无人机司法案例pdf\成都星展无人机科技有限公司、成都乐屹包装装潢设计有限公司买卖合同纠纷一审民事调解书(FBMCLI.C.313411488).pdf,https://www.pkulaw.com/pfnl/c05aeed05a57db0a622305197ab182b8f55081bb261,引证码FBMCLI.C.313411488｜司法案例(单独管线)
397,pkulaw,案例,司法案例,成都星展无人机科技有限公司与晓歌动力科技（上海）有限公司买卖合同纠纷一审民事裁定书,,,,,,,否,pkulaw\raw_pdf\无人机司法案例pdf\无人机司法案例pdf\成都星展无人机科技有限公司与晓歌动力科技（上海）有限公司买卖合同纠纷一审民事裁定书(FBMCLI.C.316473812).pdf,https://www.pkulaw.com/pfnl/c05aeed05a57db0ac50c1613f70616e656b0092de61,引证码FBMCLI.C.316473812｜司法案例(单独管线)
398,pkulaw,案例,司法案例,成都睿翼无人机科技有限公司;许小东租赁合同纠纷执行实施类执行通知书,,,,,,,否,pkulaw\raw_pdf\无人机司法案例pdf\无人机司法案例pdf\成都睿翼无人机科技有限公司;许小东租赁合同纠纷执行实施类执行通知书(FBMCLI.C.320043958).pdf,https://www.pkulaw.com/pfnl/c05aeed05a57db0a1fda15352a1eb30ef34a204eb48,引证码FBMCLI.C.320043958｜司法案例(单独管线)
399,pkulaw,案例,司法案例,成都睿翼无人机科技有限公司、何亮租赁合同纠纷执行实施类执行裁定书,,,,,,,否,pkulaw\raw_pdf\无人机司法案例pdf\无人机司法案例pdf\成都睿翼无人机科技有限公司、何亮租赁合同纠纷执行实施类执行裁定书(FBMCLI.C.99344118).pdf,https://www.pkulaw.com/pfnl/a6bdb3332ec0adc4961f09a28c1fe61d8d69e01f9b2d,引证码FBMCLI.C.99344118｜司法案例(单独管线)
400,pkulaw,案例,司法案例,成都睿翼无人机科技有限公司、许小东租赁合同纠纷执行实施类执行裁定书,,,,,,,否,pkulaw\raw_pdf\无人机司法案例pdf\无人机司法案例pdf\成都睿翼无人机科技有限公司、许小东租赁合同纠纷执行实施类执行裁定书(FBMCLI.C.104789114).pdf,https://www.pkulaw.com/pfnl/a6bdb3332ec0adc4dddd938d076537d80dbb3f37d31,引证码FBMCLI.C.104789114｜司法案例(单独管线)
401,pkulaw,案例,司法案例,成都睿翼无人机科技有限公司与何亮租赁合同纠纷一审民事判决书,,,,,,,否,pkulaw\raw_pdf\无人机司法案例pdf\无人机司法案例pdf\成都睿翼无人机科技有限公司与何亮租赁合同纠纷一审民事判决书(FBMCLI.C.86482452).pdf,https://www.pkulaw.com/pfnl/a6bdb3332ec0adc46e05f9b11dfe11c55f05bb33978e,引证码FBMCLI.C.86482452｜司法案例(单独管线)
402,pkulaw,案例,司法案例,成都睿翼无人机科技有限公司与何平租赁合同纠纷一审民事判决书,,,,,,,否,pkulaw\raw_pdf\无人机司法案例pdf\无人机司法案例pdf\成都睿翼无人机科技有限公司与何平租赁合同纠纷一审民事判决书(FBMCLI.C.87703056).pdf,https://www.pkulaw.com/pfnl/a6bdb3332ec0adc434e66ee957d6494077ba749d21,引证码FBMCLI.C.87703056｜司法案例(单独管线)
403,pkulaw,案例,司法案例,成都睿翼无人机科技有限公司与许小东租赁合同纠纷一审民事判决书,,,,,,,否,pkulaw\raw_pdf\无人机司法案例pdf\无人机司法案例pdf\成都睿翼无人机科技有限公司与许小东租赁合同纠纷一审民事判决书(FBMCLI.C.85800968).pdf,https://www.pkulaw.com/pfnl/a6bdb3332ec0adc46a049a55044c83bfbea1b38e8bb,引证码FBMCLI.C.85800968｜司法案例(单独管线)
404,pkulaw,案例,司法案例,新乡市五谷无人机有限公司、宋玉生买卖合同纠纷二审民事判决书,,,,,,,否,pkulaw\raw_pdf\无人机司法案例pdf\无人机司法案例pdf\新乡市五谷无人机有限公司、宋玉生买卖合同纠纷二审民事判决书(FBMCLI.C.70435048).pdf,https://www.pkulaw.com/pfnl/a6bdb3332ec0adc47948bfa9705cc7866ecd01ef0184,引证码FBMCLI.C.70435048｜司法案例(单独管线)
405,pkulaw,案例,司法案例,新乡市五谷无人机有限公司、宋玉生买卖合同纠纷再审审查与审判监督民事裁定书,,,,,,,否,pkulaw\raw_pdf\无人机司法案例pdf\无人机司法案例pdf\新乡市五谷无人机有限公司、宋玉生买卖合同纠纷再审审查与审判监督民事裁定书(FBMCLI.C.76815518).pdf,https://www.pkulaw.com/pfnl/a6bdb3332ec0adc433e33ce4b859cd10665f8a480cc,引证码FBMCLI.C.76815518｜司法案例(单独管线)
406,pkulaw,案例,司法案例,新疆猎鹰无人机科技有限公司与霍城县金裕农种植专业合作社委托合同纠纷二审民事判决书,,,,,,,否,pkulaw\raw_pdf\无人机司法案例pdf\无人机司法案例pdf\新疆猎鹰无人机科技有限公司与霍城县金裕农种植专业合作社委托合同纠纷二审民事判决书(FBMCLI.C.110562471).pdf,https://www.pkulaw.com/pfnl/a6bdb3332ec0adc4c0adef82ead6eb1d3db829f9909,引证码FBMCLI.C.110562471｜司法案例(单独管线)
407,pkulaw,案例,司法案例,新疆航盾无人机科技有限公司;新疆金桂芳香时代家居用品有限公司;方雅枝;方光霖;方潇撼;民间借贷纠纷一审民事裁定书,,,,,,,否,pkulaw\raw_pdf\无人机司法案例pdf\无人机司法案例pdf\新疆航盾无人机科技有限公司;新疆金桂芳香时代家居用品有限公司;方雅枝;方光霖;方潇撼;民间借贷纠纷一审民事裁定书(FBMCLI.C.577245756).pdf,https://www.pkulaw.com/pfnl/c7ed112b8012f8163e3ca5f480ccdf5a487d544a0861,引证码FBMCLI.C.577245756｜司法案例(单独管线)
408,pkulaw,案例,司法案例,新疆航盾无人机科技有限公司与新疆潇鑫装饰工程有限公司民间借贷纠纷一案,,,,,,,否,pkulaw\raw_pdf\无人机司法案例pdf\无人机司法案例pdf\新疆航盾无人机科技有限公司与新疆潇鑫装饰工程有限公司民间借贷纠纷一案(FBMCLI.C.577559189).pdf,https://www.pkulaw.com/pfnl/c7ed112b8012f8160ad4f4248327b3c5f60aef82e18a,引证码FBMCLI.C.577559189｜司法案例(单独管线)
409,pkulaw,案例,司法案例,无锡微纳产业发展有限公司与无锡微翼德米无人机系统科技有限公司房屋租赁合同纠纷一审民事裁定书,,,,,,,否,pkulaw\raw_pdf\无人机司法案例pdf\无人机司法案例pdf\无锡微纳产业发展有限公司与无锡微翼德米无人机系统科技有限公司房屋租赁合同纠纷一审民事裁定书(FBMCLI.C.72428625).pdf,https://www.pkulaw.com/pfnl/a6bdb3332ec0adc4b8b176643d14cd1c64e2af9e9e7,引证码FBMCLI.C.72428625｜司法案例(单独管线)
410,pkulaw,案例,司法案例,无锡微翼德米无人机系统科技有限公司与山东微翼植保智能科技有限公司买卖合同纠纷上诉案,,,,,,,否,pkulaw\raw_pdf\无人机司法案例pdf\无人机司法案例pdf\无锡微翼德米无人机系统科技有限公司与山东微翼植保智能科技有限公司买卖合同纠纷上诉案(FBMCLI.C.10878435).pdf,https://www.pkulaw.com/pfnl/a25051f3312b07f3b9cfa4a6be134fc58a5b6a14ac59f,引证码FBMCLI.C.10878435｜司法案例(单独管线)
411,pkulaw,案例,司法案例,无锡顺汇欣机械制造有限公司、星空（江苏）无人机研究院有限公司买卖合同纠纷民事一审民事裁定书,,,,,,,否,pkulaw\raw_pdf\无人机司法案例pdf\无人机司法案例pdf\无锡顺汇欣机械制造有限公司、星空（江苏）无人机研究院有限公司买卖合同纠纷民事一审民事裁定书(FBMCLI.C.503750423).pdf,https://www.pkulaw.com/pfnl/08df102e7c10f20642b53237c2ecb2f631eb30e9e9a6,引证码FBMCLI.C.503750423｜司法案例(单独管线)
412,pkulaw,案例,司法案例,曹继生、北航富羽无人机（深圳）有限公司劳动争议首次执行执行裁定书,,,,,,,否,pkulaw\raw_pdf\无人机司法案例pdf\无人机司法案例pdf\曹继生、北航富羽无人机（深圳）有限公司劳动争议首次执行执行裁定书(FBMCLI.C.431947024).pdf,https://www.pkulaw.com/pfnl/95b2ca8d4055fce1a42badda4d7a39f0b23bc83dd73,引证码FBMCLI.C.431947024｜司法案例(单独管线)
413,pkulaw,案例,司法案例,曾德茂、邓昆鹏等与曾梅方、湖北金至翔农用无人机科技有限公司相邻污染侵害纠纷二审民事裁定书,,,,,,,否,pkulaw\raw_pdf\无人机司法案例pdf\无人机司法案例pdf\曾德茂、邓昆鹏等与曾梅方、湖北金至翔农用无人机科技有限公司相邻污染侵害纠纷二审民事裁定书(FBMCLI.C.510400672).pdf,https://www.pkulaw.com/pfnl/08df102e7c10f206fe360e428cc3eeaec48aac72bb98,引证码FBMCLI.C.510400672｜司法案例(单独管线)
414,pkulaw,案例,司法案例,曾秀文、北航富羽无人机（深圳）有限公司劳动争议民事一审民事裁定书,,,,,,,否,pkulaw\raw_pdf\无人机司法案例pdf\无人机司法案例pdf\曾秀文、北航富羽无人机（深圳）有限公司劳动争议民事一审民事裁定书(FBMCLI.C.407263889).pdf,https://www.pkulaw.com/pfnl/95b2ca8d4055fce1d4854408970c1e03c566c2be6f7,引证码FBMCLI.C.407263889｜司法案例(单独管线)
415,pkulaw,案例,司法案例,最高人民法院发布10件2025年度环境资源审判典型案例之一：程某某非法狩猎案——依法严惩利用无人机“坠箭”非法狩猎新型环境犯罪,,,,,,,否,pkulaw\raw_pdf\无人机司法案例pdf\无人机司法案例pdf\最高人民法院发布10件2025年度环境资源审判典型案例之一：程某某非法狩猎案——依法严惩利用无人机“坠箭”非法狩猎新型环境犯罪(FBMCLI.C.576783428).pdf,https://www.pkulaw.com/pfnl/c7ed112b8012f816fe3c55ca47d9be9508debb72680f,引证码FBMCLI.C.576783428｜司法案例(单独管线)
416,pkulaw,案例,司法案例,最高人民法院发布6起2026年上半年司法审判工作主要数据配发典型案例之五：卢某某诉范某某财产损害赔偿纠纷案——无人机喷洒...,,,,,,,否,pkulaw\raw_pdf\无人机司法案例pdf\无人机司法案例pdf\最高人民法院发布6起2026年上半年司法审判工作主要数据配发典型案例之五：卢某某诉范某某财产损害赔偿纠纷案——无人机喷洒...(FBMCLI.C.578317294).pdf,https://www.pkulaw.com/pfnl/c7ed112b8012f81608e891a769e92b748591f7509c6,引证码FBMCLI.C.578317294｜司法案例(单独管线)
417,pkulaw,案例,司法案例,最高人民法院发布九起涉农民事典型案例之七：卢某某与范某某财产损害赔偿纠纷案——使用无人机喷洒农药造成相邻地块农作物受...,,,,,,,否,pkulaw\raw_pdf\无人机司法案例pdf\无人机司法案例pdf\最高人民法院发布九起涉农民事典型案例之七：卢某某与范某某财产损害赔偿纠纷案——使用无人机喷洒农药造成相邻地块农作物受...(FBMCLI.C.546328309).pdf,https://www.pkulaw.com/pfnl/08df102e7c10f206f7ae5f52f4eb4e280d842b4e3981,引证码FBMCLI.C.546328309｜司法案例(单独管线)
418,pkulaw,案例,司法案例,朱元喜与极飞无人机教育科技（深圳）有限公司、赖进发借款合同纠纷执行实施类执行裁定书,,,,,,,否,pkulaw\raw_pdf\无人机司法案例pdf\无人机司法案例pdf\朱元喜与极飞无人机教育科技（深圳）有限公司、赖进发借款合同纠纷执行实施类执行裁定书(FBMCLI.C.73424798).pdf,https://www.pkulaw.com/pfnl/a6bdb3332ec0adc408fc80b8190fe8bf7f999e02ef7fe,引证码FBMCLI.C.73424798｜司法案例(单独管线)
419,pkulaw,案例,司法案例,朱某、镇赉县镇赉镇惠丰大疆无人机销售店等买卖合同纠纷民事一审民事裁定书,,,,,,,否,pkulaw\raw_pdf\无人机司法案例pdf\无人机司法案例pdf\朱某、镇赉县镇赉镇惠丰大疆无人机销售店等买卖合同纠纷民事一审民事裁定书(FBMCLI.C.545754001).pdf,https://www.pkulaw.com/pfnl/08df102e7c10f206278d40fd5879a55a51e05d57d6bf,引证码FBMCLI.C.545754001｜司法案例(单独管线)
420,pkulaw,案例,司法案例,李敏、深圳慈航无人机自主系统技术有限公司合同、无因管理、不当得利纠纷破产申请审查强制清算与破产裁定书,,,,,,,否,pkulaw\raw_pdf\无人机司法案例pdf\无人机司法案例pdf\李敏、深圳慈航无人机自主系统技术有限公司合同、无因管理、不当得利纠纷破产申请审查强制清算与破产裁定书(FBMCLI.C.430375161).pdf,https://www.pkulaw.com/pfnl/95b2ca8d4055fce1ae319dcda54eeaf9999e009b351,引证码FBMCLI.C.430375161｜司法案例(单独管线)
421,pkulaw,案例,司法案例,李清晓、建三江管理局勤得利农场赵小刚无人机销售处买卖合同纠纷民事一审民事裁定书,,,,,,,否,pkulaw\raw_pdf\无人机司法案例pdf\无人机司法案例pdf\李清晓、建三江管理局勤得利农场赵小刚无人机销售处买卖合同纠纷民事一审民事裁定书(FBMCLI.C.417758172).pdf,https://www.pkulaw.com/pfnl/95b2ca8d4055fce15edf60c36e35442ab38e93669e9f,引证码FBMCLI.C.417758172｜司法案例(单独管线)
422,pkulaw,案例,司法案例,杨兴武与逊克翱龙无人机科技有限公司劳务合同纠纷一案结案通知书,,,,,,,否,pkulaw\raw_pdf\无人机司法案例pdf\无人机司法案例pdf\杨兴武与逊克翱龙无人机科技有限公司劳务合同纠纷一案结案通知书(FBMCLI.C.314498782).pdf,https://www.pkulaw.com/pfnl/c05aeed05a57db0a37550c5a6a178024d2d9828a9d,引证码FBMCLI.C.314498782｜司法案例(单独管线)
423,pkulaw,案例,司法案例,杨博与湖北金斯福德无人机有限公司、霍克民间借贷纠纷一审民事裁定书,,,,,,,否,pkulaw\raw_pdf\无人机司法案例pdf\无人机司法案例pdf\杨博与湖北金斯福德无人机有限公司、霍克民间借贷纠纷一审民事裁定书(FBMCLI.C.115217379).pdf,https://www.pkulaw.com/pfnl/a6bdb3332ec0adc4083d399c4e1c19c8b4684ce0197,引证码FBMCLI.C.115217379｜司法案例(单独管线)
424,pkulaw,案例,司法案例,杨怀强、济南赛尔无人机科技有限公司劳动争议执行实施类执行裁定书,,,,,,,否,pkulaw\raw_pdf\无人机司法案例pdf\无人机司法案例pdf\杨怀强、济南赛尔无人机科技有限公司劳动争议执行实施类执行裁定书(FBMCLI.C.72904197).pdf,https://www.pkulaw.com/pfnl/a6bdb3332ec0adc4e8634927a0ff66d62711c8a9b69,引证码FBMCLI.C.72904197｜司法案例(单独管线)
425,pkulaw,案例,司法案例,杨洽与辽宁大壮无人机科技有限公司劳动争议一审民事判决书,,,,,,,否,pkulaw\raw_pdf\无人机司法案例pdf\无人机司法案例pdf\杨洽与辽宁大壮无人机科技有限公司劳动争议一审民事判决书(FBMCLI.C.552577093).pdf,https://www.pkulaw.com/pfnl/08df102e7c10f206315f6cd8e47d43fbe5796312a5df,引证码FBMCLI.C.552577093｜司法案例(单独管线)
426,pkulaw,案例,司法案例,某无人机科技有限公司;某机械有限公司买卖合同纠纷一审民事判决书,,,,,,,否,pkulaw\raw_pdf\无人机司法案例pdf\无人机司法案例pdf\某无人机科技有限公司;某机械有限公司买卖合同纠纷一审民事判决书(FBMCLI.C.576835141).pdf,https://www.pkulaw.com/pfnl/c7ed112b8012f816704ba551343ddbfb3abbf81929c,引证码FBMCLI.C.576835141｜司法案例(单独管线)
427,pkulaw,案例,司法案例,某无人机科技有限公司、某博科技有限公司等侵害商标权纠纷民事一审民事判决书,,,,,,,否,pkulaw\raw_pdf\无人机司法案例pdf\无人机司法案例pdf\某无人机科技有限公司、某博科技有限公司等侵害商标权纠纷民事一审民事判决书(FBMCLI.C.553196427).pdf,https://www.pkulaw.com/pfnl/08df102e7c10f206a44c432e2c928c7f8d2bcff58566f,引证码FBMCLI.C.553196427｜司法案例(单独管线)
428,pkulaw,案例,司法案例,某某传媒（武汉）有限公司与某某（武汉）无人机科技有限公司服务合同纠纷一审民事判决书,,,,,,,否,pkulaw\raw_pdf\无人机司法案例pdf\无人机司法案例pdf\某某传媒（武汉）有限公司与某某（武汉）无人机科技有限公司服务合同纠纷一审民事判决书(FBMCLI.C.564038387).pdf,https://www.pkulaw.com/pfnl/c7ed112b8012f816b90146111c19fe5432d6df93a2b,引证码FBMCLI.C.564038387｜有附件｜司法案例(单独管线)
429,pkulaw,案例,司法案例,某某生物科技发展有限责任公司、某某无人机科技有限公司等合同纠纷民事一审民事判决书,,,,,,,否,pkulaw\raw_pdf\无人机司法案例pdf\无人机司法案例pdf\某某生物科技发展有限责任公司、某某无人机科技有限公司等合同纠纷民事一审民事判决书(FBMCLI.C.559838226).pdf,https://www.pkulaw.com/pfnl/08df102e7c10f206e81d7eaa61ec0e2ba556fa09735f,引证码FBMCLI.C.559838226｜司法案例(单独管线)
430,pkulaw,案例,司法案例,某某（广州）无人机技术有限公司与某某汽车销售服务（昆明）有限公司修理合同纠纷一审民事裁定书,,,,,,,否,pkulaw\raw_pdf\无人机司法案例pdf\无人机司法案例pdf\某某（广州）无人机技术有限公司与某某汽车销售服务（昆明）有限公司修理合同纠纷一审民事裁定书(FBMCLI.C.556202545).pdf,https://www.pkulaw.com/pfnl/08df102e7c10f2065519866e80f3424ca9bf409d5f28,引证码FBMCLI.C.556202545｜司法案例(单独管线)
431,pkulaw,案例,司法案例,梁伟申请执行逊克翱龙无人机科技有限公司劳务合同纠纷一案结案通知书,,,,,,,否,pkulaw\raw_pdf\无人机司法案例pdf\无人机司法案例pdf\梁伟申请执行逊克翱龙无人机科技有限公司劳务合同纠纷一案结案通知书(FBMCLI.C.314066592).pdf,https://www.pkulaw.com/pfnl/c05aeed05a57db0a5983d5fd51ddbf97d29aea5e458,引证码FBMCLI.C.314066592｜司法案例(单独管线)
432,pkulaw,案例,司法案例,梅州国威电子有限公司与广东澄星无人机股份有限公司加工合同纠纷一审民事判决书,,,,,,,否,pkulaw\raw_pdf\无人机司法案例pdf\无人机司法案例pdf\梅州国威电子有限公司与广东澄星无人机股份有限公司加工合同纠纷一审民事判决书(FBMCLI.C.81828463).pdf,https://www.pkulaw.com/pfnl/a6bdb3332ec0adc4e523ea735a25af28b1948538eb2,引证码FBMCLI.C.81828463｜司法案例(单独管线)
433,pkulaw,案例,司法案例,"武侯区无线航模玩具经营部与赵德力,东莞市汇天无人机科技有限公司侵害外观设计专利权纠纷二审民事裁定书",,,,,,,否,"pkulaw\raw_pdf\无人机司法案例pdf\无人机司法案例pdf\武侯区无线航模玩具经营部与赵德力,东莞市汇天无人机科技有限公司侵害外观设计专利权纠纷二审民事裁定书(FBMCLI.C.110054377).pdf",https://www.pkulaw.com/pfnl/a6bdb3332ec0adc4eec1a2b9162e9b41a2fdc24d05f,引证码FBMCLI.C.110054377｜司法案例(单独管线)
434,pkulaw,案例,司法案例,武汉东湖高新集团股份有限公司与洛克希德（武汉）无人机科学研究院有限公司、黄琪租赁合同纠纷一审民事判决书,,,,,,,否,pkulaw\raw_pdf\无人机司法案例pdf\无人机司法案例pdf\武汉东湖高新集团股份有限公司与洛克希德（武汉）无人机科学研究院有限公司、黄琪租赁合同纠纷一审民事判决书(FBMCLI.C.114864909).pdf,https://www.pkulaw.com/pfnl/a6bdb3332ec0adc443eefce81f95ce98d53c6eb3c8ce,引证码FBMCLI.C.114864909｜司法案例(单独管线)
435,pkulaw,案例,司法案例,武汉市宏润小额贷款有限公司与孙怡与田其瑞与湖北中华雁无人机航空科技实业有限公司与湖北中华雁航空器科技实业有限公司与湖...,,,,,,,否,pkulaw\raw_pdf\无人机司法案例pdf\无人机司法案例pdf\武汉市宏润小额贷款有限公司与孙怡与田其瑞与湖北中华雁无人机航空科技实业有限公司与湖北中华雁航空器科技实业有限公司与湖...(FBMCLI.C.68219830).pdf,https://www.pkulaw.com/pfnl/a6bdb3332ec0adc4f03c4b29534db24f11271b55fb0c,引证码FBMCLI.C.68219830｜司法案例(单独管线)
436,pkulaw,案例,司法案例,武汉拓普新科无人机科技有限公司、魏广晔等民间借贷纠纷民事一审民事判决书,,,,,,,否,pkulaw\raw_pdf\无人机司法案例pdf\无人机司法案例pdf\武汉拓普新科无人机科技有限公司、魏广晔等民间借贷纠纷民事一审民事判决书(FBMCLI.C.505225109).pdf,https://www.pkulaw.com/pfnl/08df102e7c10f2061529d2f99d9a28451c060c2657fb,引证码FBMCLI.C.505225109｜司法案例(单独管线)
437,pkulaw,案例,司法案例,武汉无人机公司调解书,,,,,,,否,pkulaw\raw_pdf\无人机司法案例pdf\无人机司法案例pdf\武汉无人机公司调解书(FBMCLI.C.106923482).pdf,https://www.pkulaw.com/pfnl/a6bdb3332ec0adc4480a5ff4105a1cc29e9824f72a31,引证码FBMCLI.C.106923482｜司法案例(单独管线)
438,pkulaw,案例,司法案例,汕头市华洛贸易有限公司与广东澄星无人机股份有限公司不当得利纠纷一审民事判决书,,,,,,,否,pkulaw\raw_pdf\无人机司法案例pdf\无人机司法案例pdf\汕头市华洛贸易有限公司与广东澄星无人机股份有限公司不当得利纠纷一审民事判决书(FBMCLI.C.93103873).pdf,https://www.pkulaw.com/pfnl/a6bdb3332ec0adc4a3004eb813b10f430d41dbee28f,引证码FBMCLI.C.93103873｜司法案例(单独管线)
439,pkulaw,案例,司法案例,汕头市澄海区人民法院、广东澄星无人机股份有限公司其他案由执行实施类执行裁定书,,,,,,,否,pkulaw\raw_pdf\无人机司法案例pdf\无人机司法案例pdf\汕头市澄海区人民法院、广东澄星无人机股份有限公司其他案由执行实施类执行裁定书(FBMCLI.C.323673478).pdf,https://www.pkulaw.com/pfnl/c05aeed05a57db0a23dfa1888f9f57ceb339efcecf89f,引证码FBMCLI.C.323673478｜司法案例(单独管线)
